"Zeitstempel","
Wie leicht war es für Sie, sich mit der App vertraut zu machen?","Wie würden Sie die Benutzerfreundlichkeit der App bewerten?","Haben Sie alle Funktionen der App problemlos gefunden?","Gab es Funktionen oder Optionen, die Ihnen unklar waren oder die Sie vermisst haben?","Wie zufrieden waren Sie mit dem visuellen Design und der Benutzeroberfläche der App?","Gab es technische Probleme oder Verzögerungen während der Nutzung der App?","Wie intuitiv war die Navigation innerhalb der App?","Wie hat Ihnen die App gefallen? Welche Funktionen haben Sie besonders geschätzt und welche fanden Sie weniger ansprechend?","Haben Sie Vorschläge zur Verbesserung der App oder neue Funktionen, die hinzugefügt werden sollten?","Wie würden Sie die Gesamtqualität der App bewerten?"
"2023/05/24 11:41:13 PM OESZ","1","1","1","1","1","1","1","Die genauen Beschreibungen sorgten für Verständlichkeit!","Kreative Idee!","1"
"2023/05/25 9:48:17 AM OESZ","2","2","1","1","2","5","1","Great job. Very interesting.","Graphs are not working? The app will be used by trained personal only. Therefore you don`t need the explanations, what the specific role of the different blood cell types are. However, for calculated values, e.g. MCHC you could provide how it is calculated.","1"
"2023/05/25 8:45:43 PM OESZ","1","2","1","3","2","3","1","sehr hilfreich im Labor, funktioniert einwandfrei , das „about us“ ist eine  tolle Idee, short cuts auch hilfreich, gute Marketingidee mit Videos","die App ist bei mir 2mal abgestürzt&ich musst mich erneut einloggen, aber wahrscheinlich war jemand anders zur selben Zeit in der App (nicht schlimm), Grafiken noch hinzufügen & evtl. noch Bilder der Blutzellen","1"
"2023/05/25 8:45:47 PM OESZ","1","2","1","3","2","3","1","sehr hilfreich im Labor, funktioniert einwandfrei , das „about us“ ist eine  tolle Idee, short cuts auch hilfreich, gute Marketingidee mit Videos","die App ist bei mir 2mal abgestürzt&ich musst mich erneut einloggen, aber wahrscheinlich war jemand anders zur selben Zeit in der App (nicht schlimm), Grafiken noch hinzufügen & evtl. noch Bilder der Blutzellen","1"
"2023/05/26 1:08:17 AM OESZ","3","3","3","2","5","5","4","es ist toll aufgebaut, leider ist es ungenau beschrieben was man wo eingeben sollte. ","Vielleicht kann man in der App selber ein Userdescription schreiben.","2"
"2023/05/26 11:36:26 AM OESZ","1","1","1","5","1","5","1","Ich finde alles cool","nein","1"
"2023/05/26 11:37:21 AM OESZ","1","1","1","5","1","5","1","alles war perfekt","keine","1"
"2023/05/26 11:46:52 AM OESZ","1","1","1","5","1","5","1","Sehr! Rechner + Shortcuts & Definitions","Nein","1"
"2023/05/26 11:52:03 AM OESZ","2","2","2","4","1","5","1","Es ist eine sehr schöne App geworden. Sehr übersichtlich und intuitiv von der Bedienung her. Das Design ist schlicht und sehr ansprechend. Die Idee finde ich natürlich auch super. Eine sehr gelungene Arbeit!!","Für den Gebrauch im Laboralltag wäre es super, wenn die Vorgaben von QUALAB gleich mit einbezogen werden könnten. So würde man gleich sehen, welcher VK enger ist und für die Routine übernommen werden muss. Aber Vorsicht, QUALAB ändert die VKs gelegentlich. Weiter wäre es sehr nützlich, wenn die Lotnummer und das Verfalldatum der Kontrolle eingegeben werden könnte. Und zuletzt wäre ein Export (Excel oder Drucken) sehr nützlich im Laboralltag. Dafür würde ich aber eine Darstellung mit allen Parametern auf einer Seite bevorzugen. Man muss immer die gesamte Kontrolle überprüfen und nicht die einzelnen Parameter.","2"
"2023/05/26 12:09:33 PM OESZ","1","1","1","5","1","5","1","Die Idee an sich mit der Kontrolle, dass man auch vers. Bereiche testen kann. ","keine Einwände ","1"
"2023/05/26 4:10:11 PM OESZ","2","2","1","5","1","5","1","Funktion, dass die Werte einfach eingetragen werden können und sofort ein Resultat daraus erscheint","Nein","1"
"2023/05/26 4:26:35 PM OESZ","1","1","1","5","1","5","1","alles super","keine","1"